key,value,date
LCD Soundsystem,9,2014-12
DIIV,0,2013-1
DIIV,0,2013-2
DIIV,1,2013-3
DIIV,0,2013-4
DIIV,0,2013-5
DIIV,0,2013-6
DIIV,0,2013-7
DIIV,11,2013-8
DIIV,1,2013-9
DIIV,0,2013-10
DIIV,2,2013-11
DIIV,0,2013-12
DIIV,18,2014-1
DIIV,41,2014-2
DIIV,13,2014-3
DIIV,4,2014-4
DIIV,0,2014-5
DIIV,0,2014-6
DIIV,12,2014-7
DIIV,12,2014-8
DIIV,0,2014-9
DIIV,0,2014-10
DIIV,13,2014-11
DIIV,0,2014-12
Temples,0,2013-1
Temples,0,2013-2
Temples,0,2013-3
Temples,0,2013-4
Temples,0,2013-5
Temples,0,2013-6
Temples,0,2013-7
Temples,0,2013-8
Temples,0,2013-9
Temples,0,2013-10
Temples,0,2013-11
Temples,0,2013-12
Temples,0,2014-1
Temples,35,2014-2
Temples,51,2014-3
Temples,26,2014-4
Temples,1,2014-5
Temples,0,2014-6
Temples,0,2014-7
Temples,0,2014-8
Temples,10,2014-9
Temples,0,2014-10
Temples,0,2014-11
Temples,3,2014-12
Alpine,0,2013-1
Alpine,0,2013-2
Alpine,0,2013-3
Alpine,0,2013-4
Alpine,0,2013-5
Alpine,53,2013-6
Alpine,12,2013-7
Alpine,2,2013-8
Alpine,0,2013-9
Alpine,0,2013-10
Alpine,1,2013-11
Alpine,0,2013-12
Alpine,0,2014-1
Alpine,11,2014-2
Alpine,17,2014-3
Alpine,0,2014-4
Alpine,11,2014-5
Alpine,0,2014-6
Alpine,8,2014-7
Alpine,0,2014-8
Alpine,0,2014-9
Alpine,8,2014-10
Alpine,0,2014-11
Alpine,0,2014-12
Craft Spells,7,2013-1
Craft Spells,1,2013-2
Craft Spells,0,2013-3
Craft Spells,0,2013-4
Craft Spells,0,2013-5
Craft Spells,0,2013-6
Craft Spells,0,2013-7
Craft Spells,0,2013-8
Craft Spells,0,2013-9
Craft Spells,0,2013-10
Craft Spells,0,2013-11
Craft Spells,0,2013-12
Craft Spells,0,2014-1
Craft Spells,0,2014-2
Craft Spells,0,2014-3
Craft Spells,0,2014-4
Craft Spells,0,2014-5
Craft Spells,35,2014-6
Craft Spells,22,2014-7
Craft Spells,47,2014-8
Craft Spells,6,2014-9
Craft Spells,0,2014-10
Craft Spells,0,2014-11
Craft Spells,0,2014-12
Spoon,1,2013-1
Spoon,0,2013-2
Spoon,0,2013-3
Spoon,0,2013-4
Spoon,0,2013-5
Spoon,0,2013-6
Spoon,0,2013-7
Spoon,1,2013-8
Spoon,0,2013-9
Spoon,0,2013-10
Spoon,0,2013-11
Spoon,0,2013-12
Spoon,0,2014-1
Spoon,0,2014-2
Spoon,4,2014-3
Spoon,0,2014-4
Spoon,0,2014-5
Spoon,0,2014-6
Spoon,0,2014-7
Spoon,39,2014-8
Spoon,39,2014-9
Spoon,9,2014-10
Spoon,0,2014-11
Spoon,11,2014-12
Ducktails,0,2013-1
Ducktails,1,2013-2
